Group,DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Lucky Star 1,Lucky Star 2,UK Millionaire Maker,DrawNumber,
4,,7,17,21,29,40,8,11,,,
3,,1,9,14,17,43,6,12,,,
3,,1,2,12,19,26,2,8,,,
3,,12,19,22,23,48,2,6,,,
3,08-Mar-22,12,18,21,25,31,2,9,HJXG53256,,1509
3,04-Mar-22,6,20,40,42,43,10,12,XLXX96708,,1508
4,01-Mar-22,8,24,26,39,42,3,5,HKXS66024,,1507
4,25-Feb-22,10,13,24,30,42,1,5,MJXF72347,,1506
4,22-Feb-22,5,9,14,26,32,3,7,VXSW39986,,1505
4,18-Feb-22,25,38,41,43,50,6,10,ZGWP25586,,1504
4,15-Feb-22,9,20,31,33,44,2,12,MFWJ80224,,1503
3,11-Feb-22,13,18,38,42,45,7,11,XDVW72625,,1502
4,08-Feb-22,6,20,34,37,43,7,10,MCVR96825,,1501
4,04-Feb-22,3,25,38,43,49,3,7,MBVJ61669,,1500
4,01-Feb-22,1,19,36,38,49,6,9,VZTH01980,,1499
4,28-Jan-22,10,25,29,34,45,9,10,ZWSR23462,,1498
4,25-Jan-22,6,16,18,39,47,2,4,JWSS30643,,1497
3,21-Jan-22,5,14,35,36,39,7,12,JVSM59505,"BHMR32763,BHNJ64417,BHNK86655,BHNL54610,BHNQ96583,BHNT35440,BHNV30470,BHPV32773,EBBB51860,EBBD70418,EBBF26358,EBBJ34796,EBBP27831,EBCG54031,EBCH27984,EBDB48546,EBDB62398,EBDD99803,EBDK36121,EBFB27852,EBFD53629,EBFD88478,EBFR73408,EBFW57864,EBFZ49430,EBGD84310,FBJB32849,FCBM92592,FCCZ64000,FCPV01912,FFWV25413,FGNQ50037,FGVZ67432,FHNS76765,FHWD28167,FJJD37158,FJJV71787,FJRZ35853,FJTV00190,FKBX42574,FNCN99152,FNJK79627,FNWH71157,FPBP12550,FPXH79858,FQMX42431,FQTJ67362,FSDV60006,FSHF31374,FSTP64314,FTHD16573,FTLZ26610,FTRH67340,FVHM94680,HVSD27040,HVSF61310,HVSK04713,HVSM17788,HVSP90761,IMDZ91577,IMFC21006,IMFF48547,JTRT58673,JVRZ11907,JVSM73525,MTRT79385,MVRZ26827,NQCC05383,OQBN39384,PFCK17673,PFDB27796,PFFM27813,PFFN07949,PFFW22456,PFKK29281,PFLS22482,PFLS32079,PFMB24858,PFPW21873,RLSH43275,RLSM59586,RLSN57742,RLSP76359,SBBT76008,SBBV14622,TVRZ55779,TVSD23735,TVSG00783,TVSG76136,TVSH82930,VTRL01585,VTRL87162,VVRZ30685,WJQH00203,XVSG84995,XVSL70214,ZQQJ90798,ZTRM14877,ZTRR94586,ZVSM26552",1496
4,18-Jan-22,3,12,19,24,30,2,5,VTRN15755,,1495
4,14-Jan-22,6,17,25,31,46,9,12,TSRJ67300,1494,
4,11-Jan-22,4,23,32,33,44,9,12,TRQW49296,1493,
5,07-Jan-22,2,14,37,44,50,7,11,TQQN90212,1492,
4,04-Jan-22,18,28,35,36,41,6,11,ZPQD29592,1491,
4,31-Dec-21,7,22,25,43,49,6,7,"HMPJ33350,MNPL16315,MNPS22056,MNPZ91648,TNPP34479,VNPX61508,VNPZ29918,XNPW38777,XNPZ26220,ZNPR20272",1490,
3,28-Dec-21,4,6,15,17,29,9,12,XMPF88607,1489,
